PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone,GPCluster
10002,Muirhead Medical Centre,8274,Muirhead Medical Centre,Liff Road,Muirhead,,DD2 5NH,01382   580   264,17J, ,S08000030,S37000007,S01007129,Dundee 4
10017,The Blue Practice,7164,The Blue Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   283,17J, ,S08000030,S37000033,S01011870,Strathearn Cluster
10036,Aberfeldy And Kinloch Rannoch Medical Practice,4831,Aberfeldy And Kinloch Rannoch Medical Practice,Taybridge Road,Aberfeldy,Perthshire,PH15 2BL,01887   820   366,17J, ,S08000030,S37000033,S01012014,North West Perthshire
10106,Grove Health Centre,6442,Grove Health Centre,129 Dundee Road,Broughty Ferry,Dundee,DD5 1DU,01382   778   881,17J, ,S08000030,S37000007,S01007758,Dundee 2
10125,Alyth Health Centre,4560,Alyth Health Centre,New Alyth Road,Alyth,,PH11 8EQ,01828   632   317,17J, ,S08000030,S37000033,S01011975,Strathmore Cluster
10182,Arbroath Medical Centre,9939,Arbroath Medical Centre,7 Hill Place,Arbroath,,DD11 1AD,01241   431   144,17J, ,S08000030,S37000003,S01007187,Angus South East
10233,The Abbey Practice,6970,Abbey Health Centre,East Abbey Street,Arbroath,,DD11 1EN,01241   872   692,2C, ,S08000030,S37000003,S01007187,Angus South East
10286,"East Practice, Springfield Medical Centre",4949,"East Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,,DD11 1ES,01241   870   311,17J, ,S08000030,S37000003,S01007189,Angus South East
10322,"West Practice, Springfield Medical Centre",8602,"West Practice, Springfield Medical Centre",30 Ponderlaw Street,Arbroath,,DD11 1ES,01241   870   307,17J, ,S08000030,S37000003,S01007189,Angus South East
10361,St Margaret's Health Centre,10876,St Margaret's Health Centre,St Margarets Drive,Auchterarder,,PH3 1JH,01764   662   614,17J, ,S08000030,S37000033,S01011854,Strathearn Cluster
10407,Ardblair Medical Practice,7895,Ardblair Medical Practice,Ann Street,Blairgowrie,Perthshire,PH10 6EF,01250   872   033,17J, ,S08000030,S37000033,S01011991,Strathmore Cluster
10445,Strathmore Surgery,3907,Strathmore Surgery,Jessie Street,Blairgowrie,Perthshire,PH10 6BT,01250   872   552,17J, ,S08000030,S37000033,S01011993,Strathmore Cluster
10498,Brechin Medical Practice,8699,Brechin Medical Practice,Brechin Health Centre,Infirmary Street,Brechin,DD9 7AN,01356   624   411,2C, ,S08000030,S37000003,S01007234,North East/Angus
10638,Carnoustie Medical Group,13120,Carnoustie Medical Group,Parkview Primary Care Centre,Barry Road,Carnoustie,DD7 7RB,01241   859   888,17J, ,S08000030,S37000003,S01007160,Angus South West
10708,Comrie Medical Centre,2690,Comrie Medical Centre,Strowan Road,Comrie,Perthshire,PH6 2LW,01764   670   217,17J, ,S08000030,S37000033,S01011859,Strathearn Cluster
10746,Coupar Angus Medical Centre,6100,Coupar Angus Medical Centre,Candlehouse Lane,Coupar Angus,Perthshire,PH13 9DD,,17J, ,S08000030,S37000033,S01011969,Strathmore Cluster
10835,The Red Practice,4109,The Red Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   456,17J, ,S08000030,S37000033,S01011870,Strathearn Cluster
11005,Park Avenue Medical Centre,4715,Park Avenue Medical Centre,Park Avenue,Dundee,,DD4 6PP,01382   462   222,17J, ,S08000030,S37000007,S01007729,Dundee 1
11058,Tay Court Surgery,10199,Tay Court Surgery,50 South Tay Street,Dundee,,DD1 1PF,01382   228   228,17J, ,S08000030,S37000007,S01007691,Dundee 4
11096,Ancrum One,5110,Ancrum One,Ancrum Medical Centre,12 Ancrum Road,Dundee,DD2 2HZ,01382   669   500,17J, ,S08000030,S37000007,S01007835,Dundee 3
11128,Taybank Medical Centre,9363,Taybank Medical Centre,10 Robertson Street,Dundee,,DD4 6EL,01382   461   588,17J, ,S08000030,S37000007,S01007732,Dundee 2
11166,Coldside Medical Practice,9167,Coldside Medical Practice,129 Strathmartine Road,Dundee,,DD3 8DB,01382   880   900,17J, ,S08000030,S37000007,S01007718,Dundee 3
11171,Westgate Medical Practice,12918,Westgate Medical Practice,Westgate Health Centre,Charleston Drive,Dundee,DD2 4AD,01382   668   189,17J, ,S08000030,S37000007,S01007844,Dundee 4
11221,Newfield Medical Group,5537,Newfield Medical Group,The Crescent,71 Lothian Crescent,DUNDEE,DD4 0HU,01382   432   030,17J, ,S08000030,S37000007,S01007784,Dundee 1
11289,Princes Street Surgery,9308,Princes Street Surgery,155 Princes Street,Dundee,,DD4 6DG,01382   461   090,17J, ,S08000030,S37000007,S01007709,Dundee 2
11306,Broughty Family Healthcare,9165,Broughty Family Healthcare,103 Brown Street,Broughty Ferry,Dundee,DD5 1EP,01382   731   331,17J, ,S08000030,S37000007,S01007759,Dundee 2
11363,Hawkhill Medical Centre,11060,Hawkhill Medical Centre,Hawkhill,Dundee,,DD1 5LA,01382   669   589,17J, ,S08000030,S37000007,S01007693,Dundee 4
11382,Family Medical Group,8736,Family Medical Group,Douglas Health Centre,Balunie Avenue,DUNDEE,DD4 8XZ,01382   459   519,17J, ,S08000030,S37000007,S01007748,Dundee 1
11486,Erskine Practice,8036,Erskine Practice,Arthurstone Medical Centre,39 Arthurstone Terrace,Dundee,DD4 6QY,01382   458   333,17J, ,S08000030,S37000007,S01007728,Dundee 1
